dataset,model,split_index,repeat,fold,train_size,test_size,fit_seconds,predict_seconds,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
kc2,SVM,6,2,1,417,105,0.01359304200000011,0.0032474159999988927,0.8380952380952381,0.6303395399780942,0.8571428571428571,0.2727272727272727,0.41379310344827586,0.7406900328587076,0.5815948721147329,0.42529914366508326
kc2,SVM,7,2,2,417,105,0.013735583000000773,0.0032504580000001226,0.8285714285714286,0.6744249726177437,0.6428571428571429,0.4090909090909091,0.5,0.8450164293537787,0.5898321547077072,0.41764215857327397
kc2,SVM,8,2,3,418,104,0.01410066700000101,0.0033114580000006555,0.8461538461538461,0.6190476190476191,1.0,0.23809523809523808,0.38461538461538464,0.7401032702237522,0.5716380350654011,0.44678316845557153
kc2,SVM,9,2,4,418,104,0.014888750000000783,0.0033752920000011954,0.8653846153846154,0.6844520940906482,0.8888888888888888,0.38095238095238093,0.5333333333333333,0.8138267355134825,0.708015278348439,0.5267192878448685
kc2,SVM,10,2,5,418,104,0.014756082999999975,0.0033088750000001,0.8653846153846154,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8321858864027539,0.760325210432317,0.5340630746434305
kc2,Logistic Regression,1,1,1,417,105,0.007756332999999671,0.0018041249999996012,0.780952380952381,0.6276013143483024,0.47058823529411764,0.36363636363636365,0.41025641025641024,0.7771084337349398,0.4686722988295342,0.28194846422533065
kc2,Logistic Regression,2,1,2,417,105,0.0081039159999996,0.001856833000001501,0.8571428571428571,0.7259036144578312,0.7333333333333333,0.5,0.5945945945945946,0.8825301204819278,0.7372367667511921,0.5254563898847199
kc2,Logistic Regression,3,1,3,418,104,0.008511709000000423,0.0017516659999987638,0.8557692307692307,0.6784279977051062,0.8,0.38095238095238093,0.5161290322580645,0.825588066551922,0.5398594412776013,0.48593453410002957
kc2,Logistic Regression,4,1,4,418,104,0.008059459000000047,0.0017765000000000697,0.8461538461538461,0.6901893287435455,0.6923076923076923,0.42857142857142855,0.5294117647058824,0.8359150889271372,0.6609039522020503,0.46171338252497673
kc2,Logistic Regression,5,1,5,418,104,0.007841875000000442,0.0019243339999999165,0.8173076923076923,0.6187607573149742,0.6,0.2857142857142857,0.3870967741935484,0.8080895008605853,0.5485503024769631,0.32343552591223834
kc2,Logistic Regression,6,2,1,417,105,0.008846165999999656,0.0021047919999990228,0.8380952380952381,0.6637458926615554,0.7272727272727273,0.36363636363636365,0.48484848484848486,0.8080503833515881,0.5608535328385568,0.43520164474549927
kc2,Logistic Regression,7,2,2,417,105,0.007419584000000867,0.0019543330000004744,0.8095238095238095,0.7124863088718509,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8302300109529025,0.5649613738733026,0.4249726177437021
kc2,Logistic Regression,8,2,3,418,104,0.007785750000000036,0.0018217080000013652,0.8173076923076923,0.6009753298909926,0.625,0.23809523809523808,0.3448275862068966,0.7682157200229488,0.5988769263644176,0.30423793166984153
kc2,Logistic Regression,9,2,4,418,104,0.008484042000000969,0.001993875000000145,0.8846153846153846,0.7320711417096959,0.9090909090909091,0.47619047619047616,0.625,0.8878370625358576,0.7496213157140688,0.6058456740206282
kc2,Logistic Regression,10,2,5,418,104,0.007587666999999243,0.001834665999998819,0.8461538461538461,0.672403901319564,0.7272727272727273,0.38095238095238093,0.5,0.8907056798623063,0.7225959110361782,0.45007818304869907
kc3,Random Forest,1,1,1,366,92,0.07697825000000158,0.008680291000001006,0.8913043478260869,0.5930388219544847,0.4,0.2222222222222222,0.2857142857142857,0.8340026773761713,0.4390402303763606,0.24384276308954075
kc3,Random Forest,2,1,2,366,92,0.07663550000000008,0.008313499999999863,0.8913043478260869,0.5435073627844712,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8888888888888888,0.4049450549450549,0.14554504511398927
kc3,Random Forest,3,1,3,366,92,0.07629379199999953,0.008252541999999252,0.9021739130434783,0.5990629183400268,0.5,0.2222222222222222,0.3076923076923077,0.9062918340026773,0.5238073502005391,0.2886224326072272
kc3,Random Forest,4,1,4,367,91,0.0763602910000003,0.008564750000001453,0.9120879120879121,0.5564759036144578,0.5,0.125,0.2,0.8463855421686748,0.31284430438842203,0.21815603041788503
kc3,Random Forest,5,1,5,367,91,0.07780745900000063,0.008290167000000181,0.9010989010989011,0.4939759036144578,0.0,0.0,0.0,0.8629518072289156,0.39002833210150284,-0.032725379578254395
